sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_15,B2_SSIM,validation_f1,0.8999999761581421,0.012716133576935275,0.7036260579237519,0.024980806790192375,0.012648386849139165,9062,703576,3817,332121,12879,712638
test_15,B3_CVA,validation_f1,0.4050000011920929,0.015040645251290376,0.184175790045811,0.02781018260691151,0.014101169350763615,2372,155334,10507,880363,12879,157706
test_16,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.044784366648424924,0.14106876872353602,0.0679856753399687,0.03518901204416891,8429,179784,51322,809041,59751,188213
test_16,B2_SSIM,validation_f1,0.8999999761581421,0.042987538717732685,0.4722096701310438,0.07880140314814608,0.04101679195335294,28215,628138,31536,360687,59751,656353
test_16,B3_CVA,validation_f1,0.4050000011920929,0.04509967969821334,0.1524660675135144,0.06960893684001405,0.03605950015437108,9110,192887,50641,795938,59751,201997
test_17,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.023961535429967682,0.11785229695677457,0.03982576228998133,0.020317460317460317,4256,173362,31857,839101,36113,177618
test_17,B2_SSIM,validation_f1,0.8999999761581421,0.03686362477386142,0.6725832802591865,0.06989630230747869,0.03621375493505409,24289,634599,11824,377864,36113,658888
test_17,B3_CVA,validation_f1,0.4050000011920929,0.02481276177060427,0.12779331542657768,0.04155673417197194,0.021219268843308457,4615,181378,31498,831085,36113,185993
test_18,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.08194906738679897,0.15033338613747319,0.10607500139719443,0.05600802644003777,10439,116945,59000,862192,69439,127384
test_18,B2_SSIM,validation_f1,0.8999999761581421,0.08295393001275354,0.6837944094817033,0.14795841259899445,0.07988935756384738,47482,524908,21957,454229,69439,572390
test_18,B3_CVA,validation_f1,0.4050000011920929,0.08284499512282295,0.16022696179380463,0.10921870245118731,0.05776379457147011,11126,123173,58313,855964,69439,134299
test_19,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0606589618367843,0.19904285403524039,0.09298150531806788,0.04875752677667454,10980,170032,44184,823380,55164,181012
